Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
22,0.197424998741305,-1.93778028245578E-05,-0.000104501331502069,0,0,0,0.00971846772863301,5.27630409314115E-08,-9.65629911330809E-15,1.93074673532759E-15,8.64524127133427E-05,6.2980780077915E-10,8.64556923930788E-05,0,0,0,0,0,0,package://descripe/meshes/22.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/22.STL,,tay-6,Coordinate System14,Axis15,22,revolute,0.0800000000000006,0,-0.0139999999999993,0,0,-2.14225469636021,2,0,0,1,1000,1000,0,6.28,,,,,,,,
221,-2.55351295663786E-15,1.66533453693773E-16,0.004074095497001,0,0,0,0.000539506193520435,1.25867201372513E-08,0,-1.78596828051784E-24,1.25867201372513E-08,-3.967356130808E-23,3.31683628481004E-09,0,0,0,0,0,0,package://descripe/meshes/221.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://descripe/meshes/221.STL,,02-8,Coordinate System24,Axis16,221,revolute,0.394850000000001,0,0,0,0,0,22,0,0,1,1000,1000,0,6.28,,,,,,,,
3,0.0361016048824093,-3.91730035353977E-08,-1.98490237302007E-08,0,0,0,0.017511882705247,7.21182417832099E-07,-3.12582639118428E-11,-1.39903378111715E-11,1.0804743752541E-05,1.86745132475821E-08,1.12020571343904E-05,0,0,0,0,0,0,package://descripe/meshes/3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/3.STL,,1-2;02-5;02-6,Coordinate System15,Axis8,3,revolute,-0.065,0.11258,-0.02,1.6177,-0.08134,2.0944,base_link,0,-0.046858,-0.9989,1000,1000,0,6.28,,,,,,,,
31,0.197425016831845,4.9557640513731E-05,9.40214578554061E-05,0,0,0,0.00971846919620296,5.27630377715992E-08,-4.33566700471402E-14,2.8307333567339E-14,8.64530598532524E-05,1.4491796074449E-09,8.64550454084133E-05,0,0,0,0,0,0,package://descripe/meshes/31.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/31.STL,,tay-1,Coordinate System16,Axis9,31,revolute,0.0799999999999981,0.00065601454101416,0.0139846217296698,0.0253661095847956,-0.0394232412580098,-2.14275479506331,3,0,0,-1,1000,1000,0,6.28,,,,,,,,
311,2.77555756156289E-17,6.38378239159465E-16,-0.00407409549700054,0,0,0,0.000539506193520435,1.25867201372513E-08,2.06795153138257E-25,-5.06648125188729E-24,1.25867201372513E-08,-2.67799723314043E-23,3.31683628481005E-09,0,0,0,0,0,0,package://descripe/meshes/311.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://descripe/meshes/311.STL,,02-10,Coordinate System18,Axis12,311,revolute,0.394849999999999,0,0,0,0,0,31,0,0,-1,1000,1000,0,6.28,,,,,,,,
32,0.19742498319943,-4.95577731194907E-05,-9.40213842750698E-05,0,0,0,0.00971846911141238,5.27630336772175E-08,-2.03796394632002E-14,1.61252797671359E-14,8.64530598526678E-05,1.44917885692628E-09,8.64550453997248E-05,0,0,0,0,0,0,package://descripe/meshes/32.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/32.STL,,tay-2,Coordinate System17,Axis10,32,revolute,0.0799999999999981,-0.000656014541008387,-0.013984621729672,0.0253661095847951,-0.0394232412580078,-2.14275479506331,3,0,0,1,1000,1000,0,6.28,,,,,,,,
321,-5.89805981832114E-17,6.66133814775094E-16,0.0040740954970007,0,0,0,0.000539506193520436,1.25867201372514E-08,3.10192729707385E-25,5.89366186444032E-24,1.25867201372514E-08,-2.12999007732405E-23,3.31683628481004E-09,0,0,0,0,0,0,package://descripe/meshes/321.STL,0.505882352941176,0.505882352941176,0.584313725490196,1,0,0,0,0,0,0,package://descripe/meshes/321.STL,,02-9,Coordinate System19,Axis11,321,revolute,0.394849999999999,0,0,0,0,0,32,0,0,1,1000,1000,0,6.28,,,,,,,,
4,4.22051041337745E-09,7.90242890569282E-09,0.00644065846947697,0,0,0,0.00151305684520863,7.76380429873237E-08,1.06758944474477E-13,-1.27965978349675E-13,6.42955272093896E-08,2.85021212069954E-13,5.48378642213392E-08,0,0,0,0,0,0,package://descripe/meshes/4.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://descripe/meshes/4.STL,,mid1-1,Coordinate System25,Axis3,4,revolute,0,0,-0.0200000000000002,0,0,0.0374025114052824,base_link,0,0,1,1000,1000,0,6.28,,,,,,,,
41,-1.36002320516582E-15,-1.94289029309402E-16,-2.77555756156289E-17,0,0,0,0.000852115950566532,1.2127907628535E-08,1.51636995168832E-23,-4.13590306276514E-25,1.48133687782392E-08,2.10508903819108E-24,1.2127907628535E-08,0,0,0,0,0,0,package://descripe/meshes/41.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://descripe/meshes/41.STL,,mid2-1,Coordinate System2,Axis5,41,revolute,0,0,-0.00399999999999989,1.5707963267949,0,0,4,0,0,-1,1000,1000,0,6.28,,,,,,,,
411,-0.113275443707768,-4.3362397006419E-10,7.89386500610334E-10,0,0,0,0.0151504453724169,6.41413678015845E-07,-1.26739956930487E-13,-2.84889742136951E-13,3.92328614975377E-05,-1.06798338889939E-13,3.95821990660992E-05,0,0,0,0,0,0,package://descripe/meshes/411.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://descripe/meshes/411.STL,,mid3-1/mid1-1;mid3-1/Tăng giảm 0-1;mid3-1/Ống carbon-6;mid3-1/Ống carbon-5;mid3-1/Tăng giảm 1-1,Coordinate System3,Axis4,411,revolute,0,0,0,1.5707963267949,0,1.57079632679489,41,0,0,-1,1000,1000,0,6.28,,,,,,,,
4111,-7.99613625313E-10,-1.49719046882435E-09,0.120044998050398,0,0,0,0.00798617591742343,1.96486123039808E-05,1.06758945081628E-13,1.27966215744159E-13,1.9806006955144E-05,-2.85021194990854E-13,3.33730404518576E-07,0,0,0,0,0,0,package://descripe/meshes/4111.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://descripe/meshes/4111.STL,,mid4-1,Coordinate System5,Axis22,4111,prismatic,-0.311867067884886,0,0,1.5707963267949,0,1.57079632679491,411,0,0,1,1000,1000,0,6.28,,,,,,,,
41111,8.32667268468867E-17,6.93889390390723E-17,3.05311331771918E-16,0,0,0,0.000852115950566531,1.2127907628535E-08,-5.7725988742426E-24,-2.48154183765908E-24,1.48133687782392E-08,-1.75584902064304E-23,1.2127907628535E-08,0,0,0,0,0,0,package://descripe/meshes/41111.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://descripe/meshes/41111.STL,,mid2-2,Coordinate System6,Axis1,41111,revolute,0,0,0,1.5707963267949,0,0,4111,0,0,-1,1000,1000,0,6.28,,,,,,,,
411111,-0.0258618985042972,-8.44322264881292E-10,1.53939538893866E-09,0,0,0,0.00777029234237776,5.68324834833635E-07,-1.26739956260412E-13,-2.84889744292174E-13,5.93752025348481E-07,-1.06798541145525E-13,5.80409509616738E-07,0,0,0,0,0,0,package://descripe/meshes/411111.STL,0.756862745098039,0.768627450980392,0.752941176470588,1,0,0,0,0,0,0,package://descripe/meshes/411111.STL,,mid1-2;mid5-1,Coordinate System7,Axis2,411111,revolute,0,0,0,1.5708,0,1.5708,41111,0,0,1,1000,1000,0,6.28,,,,,,,,
